Rank,PlayerID,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,15048,Travis Kelce,KC,TE,16,150,103,68.7,1336,10,43,8.9,13,0,0,0,0,2,1,12,191.6
2,19063,George Kittle,SF,TE,16,136,88,64.7,1377,5,85,10.1,15.6,1,10,10,0,0,0,10.7,170.7
3,14856,Zach Ertz,PHI,TE,16,156,116,74.4,1163,8,34,7.5,10,0,0,0,0,1,0,10.3,164.3
4,16451,Eric Ebron,IND,TE,16,110,66,60,750,13,53,6.8,11.4,3,-8,-2.7,1,1,1,9.8,156.2
5,8534,Jared Cook,LV,TE,16,101,68,67.3,896,6,45,8.9,13.2,0,0,0,0,0,0,7.8,125.6
6,15965,Trey Burton,CHI,TE,16,77,54,70.1,569,6,47,7.4,10.5,1,2,2,0,1,1,5.8,93.1
7,17963,Austin Hooper,ATL,TE,16,88,71,80.7,660,4,36,7.5,9.3,0,0,0,0,0,0,5.8,92
8,18876,David Njoku,CLE,TE,16,89,56,62.9,639,4,66,7.2,11.4,0,0,0,0,0,0,5.5,87.9
9,13275,Kyle Rudolph,MIN,TE,16,81,64,79,634,4,44,7.8,9.9,0,0,0,0,0,0,5.5,87.4
10,18901,O.J. Howard,TB,TE,10,48,34,70.8,565,5,75,11.8,16.6,0,0,0,0,0,0,8.6,86.5
11,10974,Rob Gronkowski,NE,TE,13,72,47,65.3,682,3,42,9.5,14.5,0,0,0,0,1,1,6.5,84.2
12,15239,Vance McDonald,PIT,TE,15,73,50,68.5,610,4,75,8.4,12.2,0,0,0,0,2,1,5.5,83
13,18912,Evan Engram,NYG,TE,11,64,45,70.3,577,3,54,9,12.8,3,36,12,0,0,0,7.4,81.3
14,16802,Devin Funchess,CAR,TE,14,79,44,55.7,549,4,27,6.9,12.5,0,0,0,0,0,0,5.6,78.9
15,11488,Jimmy Graham,GB,TE,16,90,55,61.1,636,2,54,7.1,11.6,0,0,0,0,0,0,4.7,75.6
16,19947,Chris Herndon,NYJ,TE,14,56,39,69.6,502,4,32,9,12.9,0,0,0,0,2,0,5.3,74.2
17,19803,Mark Andrews,BAL,TE,16,50,34,68,552,3,74,11,16.2,0,0,0,0,0,0,4.6,73.2
18,15100,Jordan Reed,WAS,TE,13,84,54,64.3,558,2,34,6.6,10.3,0,0,0,0,1,1,5.1,65.8
19,16593,Cameron Brate,TB,TE,16,49,30,61.2,289,6,21,5.9,9.6,0,0,0,0,1,1,3.9,62.9
20,16917,C.J. Uzomah,CIN,TE,16,64,43,67.2,439,3,29,6.9,10.2,0,0,0,0,0,0,3.9,61.9
21,19863,Dallas Goedert,PHI,TE,16,44,33,75,334,4,32,7.6,10.1,0,0,0,0,0,0,3.6,57.4
22,16920,Jesse James,PIT,TE,16,39,30,76.9,423,2,51,10.8,14.1,0,0,0,0,0,0,3.4,54.3
23,18935,Gerald Everett,LAR,TE,16,51,33,64.7,320,3,40,6.3,9.7,2,16,8,0,0,0,3.4,53.6
24,1658,Greg Olsen,CAR,TE,9,38,27,71.1,291,4,23,7.7,10.8,0,0,0,0,0,0,5.9,53.1
25,11756,Benjamin Watson,NO,TE,16,46,35,76.1,400,2,32,8.7,11.4,0,0,0,0,0,0,3.2,52
26,5084,Vernon Davis,WAS,TE,14,36,25,69.4,367,2,53,10.2,14.7,0,0,0,0,0,0,3.6,50.7
27,19457,Blake Jarwin,DAL,TE,16,36,27,75,307,3,39,8.5,11.4,0,0,0,0,0,0,3,48.7
28,7884,Antonio Gates,LAC,TE,16,46,28,60.9,333,2,27,7.2,11.9,0,0,0,0,1,1,3,47.3
29,20020,Jordan Thomas,HOU,TE,16,27,20,74.1,215,4,39,8,10.8,0,0,0,0,0,0,2.8,45.5
30,19910,Ian Thomas,CAR,TE,16,49,36,73.5,333,2,31,6.8,9.2,0,0,0,0,0,0,2.8,45.3
31,18019,Nick Vannett,SEA,TE,15,43,29,67.4,269,3,32,6.3,9.3,0,0,0,0,1,0,3,44.9
32,18990,Jonnu Smith,TEN,TE,13,31,20,64.5,258,3,61,8.3,12.9,0,0,0,0,1,0,3.4,43.8
33,15974,Jordan Matthews,PHI,TE,14,28,20,71.4,300,2,56,10.7,15,0,0,0,0,0,0,3,42
34,18032,Tyler Higbee,LAR,TE,16,34,24,70.6,292,2,36,8.6,12.2,0,0,0,0,1,0,2.6,41.2
35,19410,Ricky Seals-Jones,ARI,TE,15,70,34,48.6,343,1,40,4.9,10.1,0,0,0,0,0,0,2.7,40.3
36,16853,Jeff Heuerman,DEN,TE,11,48,31,64.6,281,2,36,5.9,9.1,0,0,0,0,0,0,3.6,40.1
37,14445,Rhett Ellison,NYG,TE,14,34,25,73.5,272,1,29,8,10.9,0,0,0,0,0,0,2.5,35.2
38,15602,Jack Doyle,IND,TE,6,33,26,78.8,245,2,20,7.4,9.4,0,0,0,0,1,1,5.8,34.5
39,15305,Demetrius Harris,KC,TE,15,25,12,48,164,3,35,6.6,13.7,0,0,0,0,0,0,2.3,34.4
40,19415,Jason Croom,BUF,TE,15,35,22,62.9,259,1,26,7.4,11.8,0,0,0,1,2,2,2.3,33.9
41,12153,Ed Dickson,SEA,TE,10,13,12,92.3,143,3,42,11,11.9,1,9,9,0,0,0,3.3,33.2
42,15378,Levine Toilolo,DET,TE,16,24,21,87.5,263,1,39,11,12.5,0,0,0,0,0,0,2,32.3
43,17415,Matt LaCosse,DEN,TE,15,37,24,64.9,250,1,44,6.8,10.4,0,0,0,0,0,0,2.1,31
44,14985,Ryan Griffin,HOU,TE,14,43,24,55.8,305,0,47,7.1,12.7,0,0,0,0,0,0,2.2,30.5
45,17005,Geoff Swaim,DAL,TE,9,32,26,81.2,242,1,43,7.6,9.3,0,0,0,0,0,0,3.4,30.2
46,15247,Darren Fells,CLE,TE,16,12,11,91.7,117,3,49,9.8,10.6,0,0,0,0,0,0,1.9,29.7
47,13370,Luke Stocker,TEN,TE,16,21,15,71.4,165,2,31,7.9,11,1,0,0,0,0,0,1.8,28.5
47,19296,Anthony Firkser,TEN,TE,10,20,19,95,225,1,28,11.2,11.8,0,0,0,0,0,0,2.8,28.5
49,19010,Michael Roberts,DET,TE,8,20,9,45,100,3,29,5,11.1,0,0,0,0,0,0,3.5,28
50,19950,Will Dissly,SEA,TE,4,14,8,57.1,156,2,66,11.1,19.5,0,0,0,0,0,0,6.9,27.6
51,13016,Virgil Green,LAC,TE,16,27,19,70.4,210,1,26,7.8,11.1,0,0,0,0,0,0,1.7,27
52,16238,Erik Swoope,NO,TE,7,10,8,80,87,3,26,8.7,10.9,0,0,0,0,0,0,3.8,26.7
53,12777,Lee Smith,LV,TE,16,11,10,90.9,73,3,30,6.6,7.3,0,0,0,0,0,0,1.6,25.3
53,18900,Mo Alie-Cox,IND,TE,9,13,7,53.8,133,2,34,10.2,19,0,0,0,0,0,0,2.8,25.3
55,15866,Josh Hill,NO,TE,16,24,16,66.7,185,1,23,7.7,11.6,0,0,0,0,0,0,1.5,24.5
56,14918,Tyler Eifert,CIN,TE,4,19,15,78.9,179,1,29,9.4,11.9,0,0,0,0,0,0,6,23.9
57,13386,Lance Kendricks,GB,TE,16,25,19,76,170,1,22,6.8,8.9,0,0,0,0,0,0,1.4,23
58,19903,Jordan Akins,HOU,TE,16,25,17,68,225,0,28,9,13.2,0,0,0,0,0,0,1.4,22.5
59,19843,Hayden Hurst,BAL,TE,12,23,13,56.5,163,1,32,7.1,12.5,1,0,0,0,0,0,1.9,22.3
60,16933,James O'Shaughnessy,JAX,TE,14,38,24,63.2,214,0,17,5.6,8.9,0,0,0,0,0,0,1.5,21.4
61,16931,Nick Boyle,BAL,TE,16,37,23,62.2,213,0,25,5.8,9.3,0,0,0,0,0,0,1.3,21.3
62,16816,Maxx Williams,BAL,TE,13,17,16,94.1,143,1,25,8.4,8.9,3,8,2.7,0,0,0,1.6,21.1
63,14496,Garrett Celek,SF,TE,15,8,5,62.5,90,2,41,11.2,18,0,0,0,0,0,0,1.4,21
63,19659,Dan Arnold,NO,TE,10,19,12,63.2,150,1,25,7.9,12.5,0,0,0,0,1,0,2.1,21
65,19853,Mike Gesicki,MIA,TE,16,32,22,68.8,202,0,27,6.3,9.2,0,0,0,0,1,1,1.1,18.2
66,18999,Jordan Leggett,NYJ,TE,15,25,14,56,114,1,16,4.6,8.1,0,0,0,0,0,0,1.2,17.4
67,12751,Charles Clay,BUF,TE,13,36,21,58.3,184,0,21,5.1,8.8,0,0,0,0,1,1,1.3,16.4
68,16903,MyCole Pruitt,TEN,TE,15,11,9,81.8,102,1,27,9.3,11.3,0,0,0,0,0,0,1.1,16.2
69,11345,Logan Paulsen,ATL,TE,15,9,9,100,91,1,19,10.1,10.1,0,0,0,0,0,0,1,15.1
70,16608,Austin Seferian-Jenkins,JAX,TE,5,20,11,55,90,1,21,4.5,8.2,0,0,0,0,0,0,3,15
71,16327,Scott Simonson,NYG,TE,16,14,9,64.3,86,1,24,6.1,9.6,0,0,0,0,0,0,0.9,14.6
71,16954,Nick O'Leary,MIA,TE,10,10,8,80,86,1,19,8.6,10.8,0,0,0,0,0,0,1.5,14.6
73,19491,Robert Tonyan,GB,TE,16,6,4,66.7,77,1,54,12.8,19.2,0,0,0,0,0,0,0.9,13.7
74,18057,Seth DeValve,CLE,TE,13,7,5,71.4,74,1,26,10.6,14.8,0,0,0,0,0,0,1,13.4
75,15640,Derek Carrier,LV,TE,16,12,7,58.3,67,1,23,5.6,9.6,0,0,0,0,0,0,0.8,12.7
76,19920,Dalton Schultz,DAL,TE,11,17,12,70.6,116,0,17,6.8,9.7,0,0,0,0,0,0,1.1,11.6
77,17762,Chris Manhertz,CAR,TE,16,5,2,40,52,1,50,10.4,26,0,0,0,0,0,0,0.7,11.2
78,16962,AJ Derby,MIA,TE,4,5,3,60,48,1,19,9.6,16,0,0,0,0,0,0,2.7,10.8
78,18931,Adam Shaheen,CHI,TE,5,6,5,83.3,48,1,23,8,9.6,0,0,0,0,0,0,2.2,10.8
80,19067,Jeremy Sprinkle,WAS,TE,16,9,5,55.6,41,1,15,4.6,8.2,0,0,0,0,0,0,0.6,10.1
81,16964,Darren Waller,LV,TE,4,6,6,100,75,0,44,12.5,12.5,1,21,21,0,0,0,2.4,9.6
82,13170,Niles Paul,JAX,TE,6,13,10,76.9,98,0,22,7.5,9.8,1,-3,-3,0,0,0,1.6,9.5
83,15263,Luke Willson,DET,TE,14,19,13,68.4,87,0,13,4.6,6.7,0,0,0,0,0,0,0.6,8.7
84,18997,Jake Butt,DEN,TE,3,12,8,66.7,85,0,22,7.1,10.6,0,0,0,0,0,0,2.8,8.5
85,16656,Logan Thomas,BUF,TE,12,17,12,70.6,77,0,24,4.5,6.4,0,0,0,0,0,0,0.7,8.3
86,19988,Tyler Conklin,MIN,TE,16,7,5,71.4,77,0,33,11,15.4,0,0,0,0,0,0,0.5,7.7
86,17741,Matt Lengel,CIN,TE,6,8,3,37.5,17,1,9,2.1,5.7,0,0,0,0,0,0,1.3,7.7
88,11026,Jermaine Gresham,ARI,TE,13,12,9,75,94,0,26,7.8,10.4,0,0,0,0,1,1,0.6,7.4
89,17223,Eric Tomlinson,NYJ,TE,15,14,8,57.1,72,0,24,5.1,9,0,0,0,0,0,0,0.5,7.2
90,18468,Joshua Perkins,PHI,TE,9,11,5,45.5,67,0,30,6.1,13.4,0,0,0,0,0,0,0.7,6.7
90,16878,Blake Bell,JAX,TE,10,11,8,72.7,67,0,16,6.1,8.4,0,0,0,0,0,0,0.7,6.7
92,16395,Xavier Grimble,PIT,TE,16,8,6,75,86,0,23,10.8,14.3,0,0,0,0,1,1,0.4,6.6
93,14707,Bradley Sowell,CHI,TE,16,2,1,50,2,1,2,1,2,0,0,0,0,0,0,0.4,6.2
94,16111,Ryan Hewitt,IND,TE,12,2,1,50,1,1,1,0.5,1,0,0,0,0,0,0,0.5,6.1
94,18236,David Grinnage,JAX,TE,3,8,6,75,61,0,24,7.6,10.2,0,0,0,0,0,0,2,6.1
96,7175,Delanie Walker,TEN,TE,1,7,4,57.1,52,0,16,7.4,13,0,0,0,0,0,0,5.2,5.2
96,19281,Jacob Hollister,NE,TE,8,5,4,80,52,0,23,10.4,13,0,0,0,0,0,0,0.6,5.2
98,19943,Durham Smythe,MIA,TE,15,11,6,54.5,50,0,21,4.5,8.3,0,0,0,0,0,0,0.3,5
99,19035,Eric Saubert,ATL,TE,16,9,5,55.6,48,0,17,5.3,9.6,0,0,0,0,0,0,0.3,4.8
99,19335,Antony Auclair,TB,TE,16,8,7,87.5,48,0,12,6,6.9,0,0,0,0,0,0,0.3,4.8
101,18133,Rico Gathers,DAL,TE,15,7,3,42.9,45,0,32,6.4,15,0,0,0,0,0,0,0.3,4.5
102,18229,Ben Braunecker,CHI,TE,15,5,3,60,42,0,20,8.4,14,0,0,0,0,0,0,0.3,4.2
103,3061,Marcedes Lewis,GB,TE,16,4,3,75,39,0,30,9.8,13,0,0,0,0,0,0,0.2,3.9
104,8848,John Phillips,ARI,TE,8,3,3,100,38,0,24,12.7,12.7,0,0,0,0,0,0,0.5,3.8
105,20264,Jordan Franks,CIN,TE,3,3,2,66.7,37,0,32,12.3,18.5,0,0,0,0,0,0,1.2,3.7
106,16846,Tyler Kroft,CIN,TE,5,6,4,66.7,36,0,16,6,9,0,0,0,0,0,0,0.7,3.6
106,18105,David Morgan,MIN,TE,11,6,5,83.3,36,0,13,6,7.2,0,0,0,0,0,0,0.3,3.6
108,17121,Brian Parker,DEN,TE,12,10,5,50,33,0,11,3.3,6.6,0,0,0,0,0,0,0.3,3.3
109,13987,Dwayne Allen,NE,TE,13,4,3,75,27,0,21,6.8,9,0,0,0,0,0,0,0.2,2.7
110,19559,Sean Culkin,LAC,TE,13,1,1,100,24,0,24,24,24,0,0,0,0,0,0,0.2,2.4
111,13861,Orson Charles,CLE,TE,13,5,3,60,23,0,9,4.6,7.7,0,0,0,0,0,0,0.2,2.3
111,19579,Tyrone Swoopes,SEA,TE,1,1,1,100,23,0,23,23,23,0,0,0,0,0,0,2.3,2.3
113,18000,Bronson Kaufusi,NYJ,TE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2
114,20361,Ross Dwelley,SF,TE,10,2,2,100,14,0,8,7,7,0,0,0,0,0,0,0.1,1.4
114,20196,Matt Flanagan,WAS,TE,2,1,1,100,14,0,14,14,14,0,0,0,0,0,0,0.7,1.4
116,18399,Hakeem Valles,DET,TE,3,3,2,66.7,11,0,6,3.7,5.5,0,0,0,0,0,0,0.4,1.1
117,14876,Dion Sims,CHI,TE,8,4,2,50,9,0,9,2.2,4.5,0,0,0,0,0,0,0.1,0.9
118,16491,Richard Rodgers,PHI,TE,6,1,1,100,7,0,7,7,7,0,0,0,0,0,0,0.1,0.7
119,19165,Johnny Mundt,LAR,TE,10,1,1,100,5,0,5,5,5,0,0,0,0,0,0,0,0.5
119,17154,Khari Lee,BUF,TE,2,1,1,100,5,0,5,5,5,0,0,0,0,0,0,0.2,0.5
121,17182,Gabe Holmes,ARI,TE,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,18522,Cole Wick,SF,TE,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,18642,Alex Ellis,KC,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,19075,Mason Schreck,CIN,TE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,19176,Darrell Daniels,ARI,TE,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,17219,Daniel Brown,CHI,TE,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,20383,Nick Deluca,JAX,TE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,20332,Deon Yelder,KC,TE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,16988,Ben Koyack,JAX,TE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,20019,James Looney,GB,TE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,16829,Clive Walford,NYJ,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,18094,Temarrick Hemingway,DEN,TE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,20370,Donnie Ernsberger,TB,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,16759,Jerome Cunningham,DET,TE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
