,index,rank,playerplayerid,playershortname,playerageexact,rushingyards,yardspercarry,rushingtouchdowns,targets,receptions,receivingyards,snapshare,opportunityshare,shotguncarryrate,shotgunyardspercarry,undercentercarryrate,undercenteryardspercarry,averagedefendersinthebox,stackedfrontcarryrate,basefrontcarryrate,lightfrontcarryrate,year,position,name,team,played,rushingattempts,receivingtouchdowns,fumbles,fumbleslost,fantasypointspergame,fantasypoints
0,0,1,21682,J. Taylor,23.5,1811,5.45,18,53,40,360,68.56,70.77,37.65,1.0,62.34,1.0,6.07,13.25,28.31,57.83,2021,RB,Jonathan Taylor,IND,17,332,2,4,2,19.6,333.1
1,1,12,19562,A. Ekeler,27.1,911,4.42,12,94,70,647,67.1,67.41,34.46,1.0,65.53,1.0,6.65,19.9,37.37,41.74,2021,RB,Austin Ekeler,LAC,16,206,8,4,3,17.1,273.8
2,2,3,18858,J. Mixon,26.0,1205,4.12,13,48,42,314,67.57,74.88,25.34,1.0,74.65,1.0,6.69,17.8,34.93,47.26,2021,RB,Joe Mixon,CIN,16,292,3,2,1,15.4,245.9
3,3,4,21768,N. Harris,24.3,1200,3.9,7,94,74,467,84.45,86.42,52.44,1.0,46.57,1.0,6.52,16.93,29.64,50.81,2021,RB,Najee Harris,PIT,17,307,3,0,0,13.3,226.7
4,4,24,18983,J. Conner,27.2,752,3.72,15,39,37,375,57.93,58.92,84.65,1.0,15.34,1.0,6.29,12.87,21.78,64.35,2021,RB,James Conner,ARI,15,202,3,2,0,14.7,220.7
5,5,7,17923,E. Elliott,27.0,1002,4.22,10,65,47,287,65.88,57.74,28.69,1.0,71.3,1.0,6.78,24.05,35.86,38.81,2021,RB,Ezekiel Elliott,DAL,17,237,2,1,1,12.1,205.06
6,6,2,19798,N. Chubb,26.5,1259,5.52,8,25,20,174,51.71,58.29,15.35,1.0,84.64,1.0,6.98,28.07,44.73,25.87,2021,RB,Nick Chubb,CLE,14,228,1,2,1,14.0,195.3
7,7,10,20790,D. Harris,25.4,929,4.59,15,20,18,132,42.88,48.68,13.36,1.0,86.63,1.0,6.05,7.92,28.71,61.38,2021,RB,Damien Harris,NE,15,202,0,2,2,12.8,192.1
8,8,14,18878,A. Kamara,27.0,898,3.74,4,67,47,439,67.83,78.51,20.0,1.0,80.0,1.0,6.59,15.83,35.83,47.5,2021,RB,Alvin Kamara,NO,13,240,5,0,0,14.4,187.7
9,9,6,21861,A. Gibson,24.0,1037,4.01,7,52,42,294,56.28,62.62,59.68,1.0,40.31,1.0,6.1,5.42,32.55,62.01,2021,RB,Antonio Gibson,WAS,16,258,3,6,4,11.7,187.1
10,10,19,18803,L. Fournette,27.5,811,4.5,8,84,69,454,64.74,67.0,23.33,1.0,76.66,1.0,6.15,12.77,25.0,62.22,2021,RB,Leonard Fournette,TB,14,180,2,1,0,13.3,186.6
11,11,29,15150,C. Patterson,31.3,618,4.03,6,68,52,548,48.13,48.57,14.37,1.0,84.96,1.0,6.99,32.02,40.52,26.14,2021,RB,Cordarrelle Patterson,ATL,16,153,5,2,0,11.4,182.6
12,12,21,19045,A. Jones,27.6,799,4.67,4,65,52,391,58.5,52.67,39.76,1.0,60.23,1.0,6.14,3.5,32.74,63.15,2021,RB,Aaron Jones,GB,15,171,6,2,1,11.8,177.0
13,13,9,17959,D. Henry,28.5,937,4.27,10,20,18,154,70.92,85.66,12.78,1.0,87.21,1.0,6.43,24.2,31.5,42.92,2021,RB,Derrick Henry,TEN,8,219,0,1,0,21.9,175.3
14,14,5,18872,D. Cook,26.9,1159,4.65,6,49,34,224,70.49,79.67,18.07,1.0,81.92,1.0,6.87,20.88,46.18,32.53,2021,RB,Dalvin Cook,MIN,13,249,0,3,2,13.3,172.3
15,15,15,20824,J. Jacobs,24.4,872,4.01,9,64,54,348,63.41,68.53,32.71,1.0,67.28,1.0,6.38,13.36,25.8,60.82,2021,RB,Josh Jacobs,LV,15,217,0,2,2,11.5,172.0
16,16,11,16776,M. Gordon III,29.2,919,4.52,8,39,28,213,52.03,51.48,25.61,1.0,74.38,1.0,5.78,5.91,24.13,68.47,2021,RB,Melvin Gordon III,DEN,16,203,2,3,3,10.4,167.1
17,17,13,22558,J. Williams,22.2,903,4.44,4,53,43,316,49.9,50.49,29.55,1.0,70.44,1.0,5.64,5.91,23.64,68.96,2021,RB,Javonte Williams,DEN,17,203,3,2,1,9.5,161.9
18,18,16,20941,D. Singletary,24.8,870,4.62,7,50,40,228,60.33,59.35,45.74,1.0,54.25,1.0,6.09,3.19,26.06,70.74,2021,RB,Devin Singletary,BUF,17,188,1,5,0,9.3,157.8
19,19,17,20882,D. Montgomery,25.1,849,3.77,7,51,42,301,74.84,80.0,40.0,1.0,59.55,1.0,6.36,11.11,28.88,59.11,2021,RB,David Montgomery,CHI,13,225,0,1,1,11.8,153.0
20,20,20,21802,A. Dillon,24.2,803,4.29,5,37,34,313,42.55,45.07,40.64,1.0,59.35,1.0,6.31,9.62,32.08,57.75,2021,RB,AJ Dillon,GB,17,187,2,2,1,8.9,151.6
21,21,40,20500,D. Williams,27.2,558,3.87,6,57,47,452,47.52,46.2,62.5,1.0,37.5,1.0,6.15,4.16,25.69,69.44,2021,RB,Darrel Williams,KC,17,144,2,0,0,8.8,149.0
22,22,30,21684,D. Swift,23.5,617,4.08,5,78,62,452,67.21,56.96,38.41,1.0,61.58,1.0,6.53,13.24,36.42,50.33,2021,RB,D'Andre Swift,DET,13,151,2,2,1,11.3,146.9
23,23,8,22535,E. Mitchell,24.2,963,4.65,5,20,19,137,64.23,80.78,25.6,1.0,74.39,1.0,6.72,13.04,56.03,29.95,2021,RB,Elijah Mitchell,SF,11,207,1,0,0,13.3,146.0
24,24,22,21970,J. Robinson,23.9,767,4.67,8,46,31,222,58.1,66.45,41.46,1.0,59.14,1.0,5.96,7.31,28.04,61.58,2021,RB,James Robinson,JAX,14,164,0,4,2,10.2,142.9
25,25,27,20798,D. Henderson Jr.,24.9,688,4.61,5,40,29,176,65.73,60.19,34.22,1.0,65.77,1.0,5.73,7.38,23.48,67.78,2021,RB,Darrell Henderson Jr.,LAR,12,149,3,0,0,11.2,134.4
26,26,18,19828,S. Michel,27.4,845,4.06,4,33,21,128,48.47,53.91,21.15,1.0,78.84,1.0,6.19,13.46,28.36,57.69,2021,RB,Sony Michel,LAR,17,208,1,1,1,7.4,125.3
27,27,31,20768,M. Gaskin,25.4,612,3.53,3,63,49,234,50.86,50.64,75.72,1.0,24.27,1.0,5.34,6.93,15.6,77.45,2021,RB,Myles Gaskin,MIA,17,173,4,2,1,7.3,124.6
28,28,28,22553,M. Carter,23.2,639,4.34,4,55,36,325,51.58,53.72,49.65,1.0,50.34,1.0,6.67,13.6,42.17,44.21,2021,RB,Michael Carter,NYJ,14,147,0,1,1,8.5,118.4
29,29,26,20912,T. Pollard,25.2,719,5.53,2,46,39,337,33.66,38.85,24.61,1.0,74.61,1.0,6.48,16.15,36.15,44.61,2021,RB,Tony Pollard,DAL,15,130,0,2,0,7.8,117.6
30,30,25,19799,R. Penny,26.4,749,6.29,6,8,6,48,43.1,48.84,39.49,1.0,60.5,1.0,6.45,8.4,32.77,58.82,2021,RB,Rashaad Penny,SEA,10,119,0,0,0,11.6,115.7
31,31,31,21691,C. Hubbard,23.1,612,3.55,5,36,25,174,39.63,43.69,37.79,1.0,62.79,1.0,6.71,15.69,36.62,48.25,2021,RB,Chuba Hubbard,CAR,17,172,1,1,1,6.6,112.6
32,32,38,16524,D. Freeman,30.3,576,4.33,5,42,34,190,44.3,47.81,96.24,1.0,3.75,1.0,5.93,7.51,22.55,69.92,2021,RB,Devonta Freeman,BAL,16,133,1,0,0,7.0,112.6
33,33,35,19766,S. Barkley,25.4,593,3.66,2,57,41,263,61.0,62.93,50.0,1.0,50.0,1.0,6.82,24.69,33.95,41.35,2021,RB,Saquon Barkley,NYG,13,162,2,2,1,8.3,107.6
34,34,35,17970,D. Booker,30.1,593,4.08,2,45,40,268,49.79,45.02,44.13,1.0,55.86,1.0,6.57,17.93,28.27,53.1,2021,RB,Devontae Booker,NYG,16,145,1,0,0,6.5,104.1
35,35,33,22546,R. Stevenson,24.4,605,4.54,5,18,14,123,33.24,38.91,11.27,1.0,88.72,1.0,6.23,14.28,24.81,60.9,2021,RB,Rhamondre Stevenson,NE,12,133,0,2,1,8.4,100.9
36,36,37,19919,C. Edmonds,26.2,592,5.1,2,53,43,311,56.8,51.36,86.2,1.0,13.79,1.0,6.22,6.89,24.13,68.96,2021,RB,Chase Edmonds,ARI,12,116,0,1,1,8.4,100.3
37,37,43,21769,C. Edwards-Helaire,23.2,517,4.34,4,23,19,129,51.01,57.02,69.74,1.0,30.25,1.0,6.01,5.04,20.16,72.26,2021,RB,Clyde Edwards-Helaire,KC,10,119,2,2,2,9.9,98.6
38,38,44,16887,M. Davis,29.4,503,3.64,3,58,44,259,54.94,41.26,20.28,1.0,79.71,1.0,6.65,20.28,35.5,42.75,2021,RB,Mike Davis,ATL,17,138,1,4,3,5.5,94.2
39,39,46,20868,A. Mattison,24.0,491,3.66,3,39,32,228,35.42,37.12,20.89,1.0,79.1,1.0,6.8,23.13,38.8,38.05,2021,RB,Alexander Mattison,MIN,16,134,1,1,1,5.9,93.9
40,40,34,18995,J. Williams,27.3,601,3.92,3,28,26,157,37.68,46.29,23.52,1.0,77.12,1.0,6.79,15.03,50.32,34.64,2021,RB,Jamaal Williams,DET,13,153,0,1,0,7.2,93.8
41,41,45,15071,L. Murray,32.5,501,4.21,6,13,10,75,38.34,40.12,78.99,1.0,21.0,1.0,6.37,14.28,37.81,47.05,2021,RB,Latavius Murray,BAL,14,119,0,0,0,6.7,93.6
42,42,23,20933,M. Sanders,25.2,754,5.5,0,34,26,158,52.16,50.59,60.58,1.0,39.41,1.0,6.31,8.02,27.73,64.23,2021,RB,Miles Sanders,PHI,12,137,0,1,1,7.6,91.2
43,43,47,18877,C. McCaffrey,26.1,442,4.46,1,41,37,343,59.03,64.51,37.37,1.0,62.62,1.0,6.88,20.2,50.5,28.28,2021,RB,Christian McCaffrey,CAR,7,99,1,1,0,12.9,90.5
44,44,61,22562,K. Gainwell,23.3,291,4.27,5,50,33,253,27.97,25.54,63.23,1.0,36.76,1.0,5.98,5.88,23.52,70.58,2021,RB,Kenneth Gainwell,PHI,16,68,1,2,1,5.6,90.4
45,45,53,18944,K. Hunt,26.9,386,4.94,5,27,22,174,44.37,41.66,25.64,1.0,74.35,1.0,6.91,24.35,42.3,33.33,2021,RB,Kareem Hunt,CLE,8,78,0,0,0,11.0,88.0
46,46,54,20039,B. Scott,27.2,373,4.28,7,16,13,83,17.45,22.19,71.26,1.0,28.73,1.0,6.43,14.94,28.73,56.32,2021,RB,Boston Scott,PHI,16,87,0,1,1,5.4,85.6
47,47,42,21593,D. Johnson,26.4,534,5.34,3,25,19,137,29.31,24.36,26.0,1.0,74.0,1.0,6.71,9.0,57.0,34.0,2021,RB,D'Ernest Johnson,CLE,17,100,0,1,0,5.0,85.1
48,48,74,18464,J. McKissic,28.9,212,4.41,2,53,43,397,45.22,28.85,70.83,1.0,29.16,1.0,5.91,0.0,27.08,70.83,2021,RB,J.D. McKissic,WAS,11,48,2,0,0,7.7,84.9
49,49,39,18957,D. Foreman,26.2,566,4.25,3,11,9,123,38.89,46.9,13.53,1.0,85.71,1.0,6.63,14.28,48.12,36.84,2021,RB,D'Onta Foreman,TEN,9,133,0,2,1,9.4,84.9
50,50,73,13741,B. Bolden,32.4,226,5.13,1,49,41,405,29.64,18.12,45.45,1.0,54.54,1.0,6.02,13.63,22.72,63.63,2021,RB,Brandon Bolden,NE,17,44,2,1,0,4.9,83.1
51,51,69,20837,T. Johnson,24.8,238,3.9,2,55,34,372,37.38,26.66,57.37,1.0,42.62,1.0,6.4,14.75,27.86,57.37,2021,RB,Ty Johnson,NYJ,16,61,2,2,1,5.2,83.0
52,52,58,21784,Z. Moss,24.6,345,3.59,4,32,23,197,40.69,40.63,40.62,1.0,59.37,1.0,6.61,16.66,37.5,45.83,2021,RB,Zack Moss,BUF,13,96,1,2,1,6.3,82.2
53,53,41,13337,M. Ingram II,32.5,554,3.46,2,35,27,162,42.05,51.45,37.5,1.0,62.5,1.0,5.84,14.37,29.37,47.5,2021,RB,Mark Ingram II,NO,14,160,0,1,1,5.8,81.6
54,54,50,14917,R. Burkhead,32.0,427,3.5,3,32,25,186,36.96,34.07,38.52,1.0,61.47,1.0,5.9,6.55,18.85,74.59,2021,RB,Rex Burkhead,HOU,16,122,0,1,0,5.0,79.3
55,55,62,19912,N. Hines,25.6,276,4.92,2,57,40,310,31.33,20.77,58.92,1.0,41.07,1.0,6.05,8.92,23.21,67.85,2021,RB,Nyheim Hines,IND,17,56,1,3,2,4.3,72.6
56,56,65,18003,K. Drake,28.4,254,4.03,2,40,30,291,34.7,31.11,28.57,1.0,71.42,1.0,6.53,17.46,28.57,53.96,2021,RB,Kenyan Drake,LV,12,63,1,1,0,6.0,72.5
57,57,49,19861,R. Jones II,24.9,428,4.23,4,13,10,64,19.23,25.05,30.69,1.0,69.3,1.0,6.56,12.87,39.6,46.53,2021,RB,Ronald Jones II,TB,16,101,0,2,2,4.3,69.2
58,58,48,22563,K. Herbert,24.2,433,4.2,2,16,14,96,27.51,25.86,35.92,1.0,64.07,1.0,6.33,15.53,33.98,49.51,2021,RB,Khalil Herbert,CHI,17,103,0,1,0,3.8,64.9
59,59,55,20064,J. Jackson,26.2,364,5.35,2,25,22,178,22.74,23.3,29.41,1.0,70.58,1.0,6.95,27.94,39.7,32.35,2021,RB,Justin Jackson,LAC,14,68,0,1,1,4.6,64.2
60,60,52,18067,J. Howard,27.7,406,4.72,3,5,2,19,29.42,39.05,74.41,1.0,25.58,1.0,6.46,19.76,36.04,43.02,2021,RB,Jordan Howard,PHI,7,86,0,0,0,8.6,60.5
61,61,51,18088,A. Collins,27.9,411,3.8,2,10,9,87,40.83,47.96,43.51,1.0,56.48,1.0,6.24,8.33,21.29,70.37,2021,RB,Alex Collins,SEA,11,108,0,1,1,5.4,59.8
62,62,68,18993,S. Perine,26.8,246,4.47,1,31,27,196,21.82,19.54,34.54,1.0,45.45,1.0,5.27,16.36,30.9,30.9,2021,RB,Samaje Perine,CIN,16,55,1,0,0,3.5,56.2
63,63,59,16838,D. Johnson,28.8,330,4.64,3,5,4,41,43.26,48.1,85.91,1.0,14.08,1.0,5.85,12.67,22.53,64.78,2021,RB,Duke Johnson,MIA,5,71,0,0,0,11.0,55.1
64,64,57,20566,D. Hilliard,27.4,350,6.25,2,26,19,87,35.0,28.97,19.64,1.0,80.35,1.0,6.76,16.07,46.42,37.5,2021,RB,Dontrell Hilliard,TEN,8,56,0,2,1,6.7,53.7
65,65,81,16815,A. Abdullah,29.1,166,3.25,0,53,38,289,27.92,21.18,52.94,1.0,47.05,1.0,6.21,3.92,21.56,74.5,2021,RB,Ameer Abdullah,CAR,17,51,1,0,0,3.0,51.5
66,66,72,16847,D. Johnson,30.6,228,3.4,0,42,32,225,38.81,30.36,65.67,1.0,34.32,1.0,5.41,1.49,13.43,85.07,2021,RB,David Johnson,HOU,13,67,1,1,1,3.8,49.3
67,67,64,21634,D. Gore,27.6,256,5.01,2,9,8,105,14.63,20.13,54.9,1.0,45.09,1.0,6.13,3.92,25.49,70.58,2021,RB,Derrick Gore,KC,11,51,0,0,0,4.4,48.1
68,68,63,22556,J. Patterson,22.5,266,3.91,2,12,10,73,13.06,15.26,60.29,1.0,36.76,1.0,6.19,10.29,30.88,55.88,2021,RB,Jaret Patterson,WAS,17,68,0,1,0,2.7,45.9
69,69,83,19065,J. McNichols,26.5,156,3.8,0,38,28,240,25.27,16.49,41.46,1.0,60.97,1.0,6.46,14.63,24.39,63.41,2021,RB,Jeremy McNichols,TEN,14,41,1,0,0,3.3,45.6
70,70,82,16031,D. Williams,30.3,164,4.1,2,23,16,103,20.87,18.31,50.0,1.0,50.0,1.0,6.62,30.0,22.5,47.5,2021,RB,Damien Williams,CHI,12,40,1,0,0,3.7,44.7
71,71,60,20360,J. Wilson Jr.,26.6,294,3.72,2,8,7,31,38.64,36.09,20.25,1.0,79.74,1.0,6.68,21.51,39.24,37.97,2021,RB,Jeff Wilson Jr.,SF,9,79,0,1,0,4.9,44.5
72,72,70,19119,C. Carson,27.8,232,4.29,3,6,6,29,59.52,70.58,35.18,1.0,64.81,1.0,6.44,9.25,29.62,61.11,2021,RB,Chris Carson,SEA,4,54,0,1,1,10.5,42.1
73,73,67,20128,P. Lindsay,28.0,249,2.82,1,5,4,45,18.55,22.96,65.9,1.0,34.09,1.0,5.82,3.4,26.13,70.45,2021,RB,Phillip Lindsay,MIA,14,88,1,0,0,3.0,41.4
74,74,56,16834,T. Coleman,29.2,356,4.23,0,16,11,49,28.28,34.01,38.09,1.0,61.9,1.0,6.86,22.61,41.66,35.71,2021,RB,Tevin Coleman,NYJ,11,84,0,0,0,3.7,40.5
75,75,74,18375,P. Barber,28.4,212,3.85,2,13,10,67,17.73,23.85,21.81,1.0,76.36,1.0,6.34,16.36,30.9,50.9,2021,RB,Peyton Barber,LV,10,55,0,2,0,4.0,39.9
76,76,78,20810,T. Homer,23.9,177,8.42,1,20,16,161,20.88,11.88,61.9,1.0,38.09,1.0,5.61,0.0,23.8,71.42,2021,RB,Travis Homer,SEA,14,21,0,0,0,2.8,39.8
77,77,87,21804,D. Dallas,23.8,138,4.18,2,23,21,133,16.36,13.55,45.45,1.0,54.54,1.0,6.18,6.06,33.33,60.6,2021,RB,DeeJay Dallas,SEA,17,33,0,1,0,2.3,39.1
78,78,88,19626,D. Ogunbowale,28.2,137,3.18,1,21,13,114,18.23,16.41,39.53,1.0,60.46,1.0,6.06,6.97,23.25,69.76,2021,RB,Dare Ogunbowale,JAX,17,43,1,0,0,2.2,37.1
79,79,111,14916,G. Bernard,30.6,58,7.25,0,29,23,123,17.12,11.14,75.0,1.0,25.0,1.0,5.37,0.0,37.5,50.0,2021,RB,Giovani Bernard,TB,12,8,3,1,0,3.0,36.1
80,80,89,19319,M. Breida,27.4,125,4.8,1,9,7,72,12.43,17.32,57.69,1.0,42.3,1.0,6.03,3.84,23.07,73.07,2021,RB,Matt Breida,BUF,9,26,2,1,1,4.0,35.7
81,81,106,22647,C. Evans,24.8,77,4.52,0,17,15,151,11.34,8.5,11.76,1.0,88.23,1.0,6.7,17.64,41.17,41.17,2021,RB,Chris Evans,CIN,14,17,2,0,0,2.5,34.8
82,82,66,16668,C. Hyde,31.8,253,3.51,1,22,12,65,37.41,35.2,48.61,1.0,51.38,1.0,6.33,8.33,29.16,62.5,2021,RB,Carlos Hyde,JAX,12,72,0,2,2,2.8,33.8
83,83,96,14967,L. Bell,30.4,101,2.58,2,7,5,30,28.77,23.35,66.66,1.0,33.33,1.0,7.02,23.07,53.84,23.07,2021,RB,Le'Veon Bell,TB,8,39,1,0,0,4.1,33.1
84,84,76,22126,T. Williams,25.8,185,5.28,1,12,9,84,16.35,15.87,88.57,1.0,11.42,1.0,6.82,25.71,37.14,37.14,2021,RB,Ty'Son Williams,BAL,13,35,0,1,0,2.5,32.9
85,85,77,21788,K. Vaughn,25.2,180,5.0,2,8,4,26,13.08,12.75,22.22,1.0,77.77,1.0,6.91,16.66,61.11,22.22,2021,RB,Ke'Shawn Vaughn,TB,12,36,0,0,0,2.7,32.6
86,86,71,21564,C. Reynolds,26.1,230,4.18,0,8,7,52,38.36,42.85,20.0,1.0,80.0,1.0,6.72,16.36,47.27,36.36,2021,RB,Craig Reynolds,DET,5,55,0,0,0,5.6,28.2
87,87,99,18617,E. Penny,28.9,99,4.12,1,13,9,30,13.34,8.25,37.5,1.0,62.5,1.0,6.37,16.66,29.16,50.0,2021,RB,Elijhaa Penny,NYG,17,24,1,0,0,1.6,26.9
88,88,84,21843,S. Ahmed,23.5,149,2.75,0,19,12,117,19.4,23.7,66.66,1.0,33.33,1.0,5.75,1.85,25.92,72.22,2021,RB,Salvon Ahmed,MIA,12,54,0,0,0,2.2,26.6
89,89,108,21765,J. Hasty,25.8,68,4.25,1,29,23,157,22.46,17.44,37.5,1.0,62.5,1.0,6.62,18.75,31.25,50.0,2021,RB,JaMycal Hasty,SF,11,16,0,2,1,2.4,26.5
90,90,80,21801,T. Sermon,23.4,167,4.07,1,4,3,26,18.23,19.39,53.65,1.0,46.34,1.0,6.92,26.82,41.46,31.7,2021,RB,Trey Sermon,SF,9,41,0,0,0,2.8,25.3
91,91,79,19823,R. Freeman,26.4,169,3.01,0,16,10,77,20.2,15.96,19.64,1.0,80.35,1.0,6.42,17.85,19.64,62.5,2021,RB,Royce Freeman,HOU,15,56,0,0,0,1.6,24.6
92,92,86,19548,C. Clement,27.7,140,4.24,0,7,6,29,5.39,7.64,12.12,1.0,87.87,1.0,6.9,36.36,36.36,24.24,2021,RB,Corey Clement,DAL,17,33,1,0,0,1.3,22.9
93,93,109,16510,J. McKinnon,30.2,62,5.16,0,20,13,107,18.03,9.9,58.33,1.0,41.66,1.0,6.16,8.33,16.66,75.0,2021,RB,Jerick McKinnon,KC,13,12,1,0,0,1.8,22.9
94,94,100,4807,A. Peterson,37.3,98,2.57,2,4,4,8,27.13,34.71,13.15,1.0,86.84,1.0,6.26,15.78,31.57,50.0,2021,RB,Adrian Peterson,SEA,4,38,0,1,0,5.6,22.6
95,95,91,21773,E. Benjamin,23.2,118,3.47,1,7,6,42,16.16,16.26,94.11,1.0,5.88,1.0,6.05,8.82,11.76,79.41,2021,RB,Eno Benjamin,ARI,9,34,0,0,0,2.4,22.0
96,96,107,22555,J. Jefferson,22.2,74,4.93,2,5,4,23,7.54,9.43,20.0,1.0,80.0,1.0,6.26,6.66,26.66,66.66,2021,RB,Jermar Jefferson,DET,7,15,0,0,0,3.1,21.7
97,97,91,20191,G. Igwebuike,27.8,118,6.55,1,10,7,60,8.9,5.37,27.77,1.0,72.22,1.0,6.16,0.0,33.33,66.66,2021,RB,Godwin Igwebuike,DET,17,18,0,2,2,1.2,19.8
98,98,89,17053,M. Brown,29.1,125,3.78,1,5,3,10,26.81,22.22,48.48,1.0,51.51,1.0,6.36,15.15,33.33,51.51,2021,RB,Malcolm Brown,MIA,7,33,0,0,0,2.8,19.5
